rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization
1,Grandmaster,Chris Deotte,https://www.kaggle.com/cdeotte,92,19,19,5307,United States,California,San Diego,Data Scientist & Researcher,Nvidia
2,Grandmaster,Marília Prata,https://www.kaggle.com/mpwolke,15,55,55,3789,Brazil,State of Rio de Janeiro,Rio de Janeiro,Doctor of Dental Surgery,Retired
3,Grandmaster,Alexis Cook,https://www.kaggle.com/alexisbcook,35,9,9,3130,United States,District of Columbia,Washington,Head of Kaggle Learn,Kaggle
4,Grandmaster,Jeremy Howard,https://www.kaggle.com/jhoward,27,1,1,2951,Australia,Queensland,Brisbane,Founder / Professor,fast.ai / Uni Qld
5,Grandmaster,AmbrosM,https://www.kaggle.com/ambrosm,36,12,12,2173,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN
6,Master,YBI Foundation,https://www.kaggle.com/ybifoundation,9,8,8,2036,India,Delhi,Delhi,Education,YBI Foundation
7,Grandmaster,Awsaf,https://www.kaggle.com/awsaf49,35,9,9,1984,Bangladesh,Dhaka Division,Dhaka,"Research Assistant, IRAB",BUET
8,Grandmaster,Abhishek Thakur,https://www.kaggle.com/abhishek,66,29,29,1980,Norway,Oslo,Oslo,AutoTrain,Hugging Face
9,Grandmaster,Darien Schettler,https://www.kaggle.com/dschettler8845,24,21,21,1710,Canada,Ontario,London,Staff Machine Learning Architect,VMWare Inc.
10,Grandmaster,Andrada,https://www.kaggle.com/andradaolteanu,40,8,8,1620,Romania,Bucharest,Bucharest,Data Scientist,Endava
11,Grandmaster,Y.Nakama,https://www.kaggle.com/yasufuminakama,37,10,10,1595,Japan,Tokyo,Tokyo,Data Scientist,...
12,Grandmaster,Prashant Banerjee,https://www.kaggle.com/prashant111,35,8,8,1508,India,Haryana,Gurugram,Freelance Data Scientist,UNKOWN
13,Grandmaster,Radek Osmulski,https://www.kaggle.com/radek1,18,4,4,1483,Australia,Queensland,Brisbane,Recommender Systems,NVIDIA
14,Expert,stpete_ishii,https://www.kaggle.com/stpeteishii,0,5,5,1476,Japan,Hyogo,Kobe,engineer,tztechno
15,Grandmaster,Rob Mulla,https://www.kaggle.com/robikscube,35,27,27,1460,United States,District of Columbia,Washington,Tom,o
16,Grandmaster,DataManyo,https://www.kaggle.com/kimtaehun,19,10,10,1441,Canada,British Columbia,Vancouver,Senior Data Scientist,NYSE listed E-commerce company
17,Grandmaster,DanB,https://www.kaggle.com/dansbecker,43,14,14,1403,United States,Colorado,Golden,Founder,decision.ai
18,Grandmaster,Leonid Kulyk,https://www.kaggle.com/leonidkulyk,15,3,3,1384,Ukraine,Vinnytsia Oblast,Vinnytsia,Data Scientist,Onseo
19,Grandmaster,Vladimir Slaykovskiy,https://www.kaggle.com/vslaykovsky,15,11,5,1364,United Kingdom,England,London,Machine Learning Researcher,CellVoyant
20,Grandmaster,DATAI,https://www.kaggle.com/kanncaa1,21,11,1,1336,Turkey,Istanbul,Istanbul,EE,UNKOWN
